DateTime,Origin,Destination,Min_time,Max_time,Duration,Distance,Route,Day_of_Week,Traffic_Intensity,Accident_Reports,Weather_Conditions
10-09-2024 18:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",12,24,18,4872,Ashoka Rd,1,2.2,0,Clear
10-09-2024 18:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",12,26,18,4473,Connaught Cir,1,2.1,0,Clear
10-09-2024 18:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",12,24,16,4872,Ashoka Rd,1,2,0,Clear
10-09-2024 18:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,26,16,4473,Connaught Cir,1,2,0,Clear
10-09-2024 19:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",12,22,16,4872,Ashoka Rd,1,2,0,Rainy
10-09-2024 19:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,26,16,4473,Connaught Cir,1,2,0,Rainy
10-09-2024 19:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 19:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,24,16,4473,Connaught Cir,1,2,0,Rainy
10-09-2024 19:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,16,4872,Ashoka Rd,1,2,0,Rainy
10-09-2024 19:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,24,16,4473,Connaught Cir,1,2,0,Rainy
10-09-2024 19:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 19:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,24,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 20:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 20:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,22,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 20:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 20:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,22,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 20:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,20,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 20:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,20,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 20:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",10,18,14,4872,Ashoka Rd,1,1.8,0,Rainy
10-09-2024 20:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,20,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 21:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,18,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 21:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,20,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 21:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,16,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 21:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,20,14,4473,Connaught Cir,1,1.8,0,Rainy
10-09-2024 21:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,16,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 21:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 21:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,16,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 21:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 22:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 22:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 22:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 22:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",9,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 22:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 22:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 22:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,12,4872,Ashoka Rd,1,1.7,0,Rainy
10-09-2024 22:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,18,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 23:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,10,4872,Ashoka Rd,1,1.5,0,Rainy
10-09-2024 23:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 23:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,10,4872,Ashoka Rd,1,1.5,0,Rainy
10-09-2024 23:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 23:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,10,4872,Ashoka Rd,1,1.5,0,Rainy
10-09-2024 23:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4473,Connaught Cir,1,1.6,0,Rainy
10-09-2024 23:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,12,10,4872,Ashoka Rd,1,1.5,0,Rainy
10-09-2024 23:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,12,4473,Connaught Cir,1,1.6,0,Rainy
10-10-2024 00:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,10,4872,Ashoka Rd,3,1.5,0,Cloudy
10-10-2024 00:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,14,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 00:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,12,10,4872,Ashoka Rd,3,1.5,0,Cloudy
10-10-2024 00:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 00:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,12,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 00:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",8,16,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 00:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 00:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 01:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 01:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,16,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 01:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 01:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 01:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 01:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,16,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 01:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 01:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,10,4473,Connaught Cir,3,1.4,0,Cloudy
10-10-2024 02:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 02:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4473,Connaught Cir,3,1.3,0,Cloudy
10-10-2024 02:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 02:15,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4473,Connaught Cir,3,1.3,0,Cloudy
10-10-2024 02:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 02:30,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4473,Connaught Cir,3,1.3,0,Cloudy
10-10-2024 02:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4872,Ashoka Rd,3,1.4,0,Cloudy
10-10-2024 02:45,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,14,9,4473,Connaught Cir,3,1.3,0,Cloudy
10-10-2024 03:00,"1211, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","Shershah Rd, Delhi High Court, India Gate, New Delhi, Delhi 110002, India",7,12,9,4872,Ashoka Rd,3,1.4,0,Cloudy
