Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,,Distance
15-09-2024,14:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,53,,4872
15-09-2024,15:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,34,,4473
15-09-2024,16:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,57,,4872
15-09-2024,17:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,44,,4473
15-09-2024,18:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,28,,4872
15-09-2024,19:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,20,,4473
15-09-2024,20:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,55,,4872
15-09-2024,21:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,39,,4473
15-09-2024,22:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,44,,4872
15-09-2024,23:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,22,,4473
16-09-2024,00:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,25,,4872
16-09-2024,01:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,60,,4473
16-09-2024,02:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,38,,4872
16-09-2024,03:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,43,,4473
16-09-2024,04:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,38,,4872
16-09-2024,05:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,27,,4473
16-09-2024,06:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,56,,4872
16-09-2024,07:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,26,,4473
16-09-2024,08:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,77,,4872
16-09-2024,09:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,88,,4473
16-09-2024,10:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,74,,4872
16-09-2024,11:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,47,,4473
16-09-2024,12:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,41,,4872
16-09-2024,13:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,47,,4473
16-09-2024,14:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,32,,4872
16-09-2024,15:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,47,,4473
16-09-2024,16:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,50,,4872
16-09-2024,17:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,72,,4473
16-09-2024,18:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,95,,4872
16-09-2024,19:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,95,,4473
16-09-2024,20:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,41,,4872
16-09-2024,21:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,48,,4473
16-09-2024,22:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,59,,4872
16-09-2024,23:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,49,,4473
17-09-2024,00:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,27,,4872
17-09-2024,01:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,30,,4473
17-09-2024,02:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,55,,4872
17-09-2024,03:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,51,,4473
17-09-2024,04:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,35,,4872
17-09-2024,05:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,52,,4473
17-09-2024,06:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,42,,4872
17-09-2024,07:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,29,,4473
17-09-2024,08:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,92,,4872
17-09-2024,09:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,95,,4473
17-09-2024,10:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,74,,4872
17-09-2024,11:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,49,,4473
17-09-2024,12:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,57,,4872
17-09-2024,13:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,45,,4473
17-09-2024,14:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,40,,4872
17-09-2024,15:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,42,,4473
17-09-2024,16:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,44,,4872
17-09-2024,17:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,99,,4473
17-09-2024,18:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,72,,4872
17-09-2024,19:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,73,,4473
17-09-2024,20:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,41,,4872
17-09-2024,21:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,36,,4473
17-09-2024,22:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,47,,4872
17-09-2024,23:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,29,,4473
18-09-2024,00:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,60,,4872
18-09-2024,01:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,30,,4473
18-09-2024,02:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,42,,4872
18-09-2024,03:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,54,,4473
18-09-2024,04:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,35,,4872
18-09-2024,05:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,59,,4473
18-09-2024,06:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,59,,4872
18-09-2024,07:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,50,,4473
18-09-2024,08:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,90,,4872
18-09-2024,09:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,100,,4473
18-09-2024,10:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,92,,4872
18-09-2024,11:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,42,,4473
18-09-2024,12:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,25,,4872
18-09-2024,13:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,59,,4473
18-09-2024,14:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,33,,4872
18-09-2024,15:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,42,,4473
18-09-2024,16:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,37,,4872
18-09-2024,17:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,96,,4473
18-09-2024,18:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,91,,4872
18-09-2024,19:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,88,,4473
18-09-2024,20:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,51,,4872
18-09-2024,21:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,30,,4473
18-09-2024,22:27:10,Wednesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,36,,4872
18-09-2024,23:27:10,Wednesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,36,,4473
19-09-2024,00:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,55,,4872
19-09-2024,01:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,44,,4473
19-09-2024,02:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,48,,4872
19-09-2024,03:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,29,,4473
19-09-2024,04:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,38,,4872
19-09-2024,05:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,56,,4473
19-09-2024,06:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,41,,4872
19-09-2024,07:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,50,,4473
19-09-2024,08:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,77,,4872
19-09-2024,09:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,86,,4473
19-09-2024,10:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,81,,4872
19-09-2024,11:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,34,,4473
19-09-2024,12:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,22,,4872
19-09-2024,13:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,26,,4473
19-09-2024,14:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,44,,4872
19-09-2024,15:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,34,,4473
19-09-2024,16:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,21,,4872
19-09-2024,17:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,95,,4473
19-09-2024,18:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,99,,4872
19-09-2024,19:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,98,,4473
19-09-2024,20:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,49,,4872
19-09-2024,21:27:10,Thursday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,50,,4473
19-09-2024,22:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,51,,4872
19-09-2024,23:27:10,Thursday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,57,,4473
20-09-2024,00:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,40,,4872
20-09-2024,01:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,33,,4473
20-09-2024,02:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,21,,4872
20-09-2024,03:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,21,,4473
20-09-2024,04:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,30,,4872
20-09-2024,05:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,41,,4473
20-09-2024,06:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,36,,4872
20-09-2024,07:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,43,,4473
20-09-2024,08:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,74,,4872
20-09-2024,09:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,98,,4473
20-09-2024,10:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,100,,4473
20-09-2024,11:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,53,,4872
20-09-2024,12:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,37,,4473
20-09-2024,13:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,59,,4872
20-09-2024,14:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,41,,4473
20-09-2024,15:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,44,,4872
20-09-2024,16:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,26,,4473
20-09-2024,17:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,71,,4872
20-09-2024,18:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,77,,4473
20-09-2024,19:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,83,,4872
20-09-2024,20:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,57,,4473
20-09-2024,21:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,56,,4872
20-09-2024,22:27:10,Friday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,40,,4473
20-09-2024,23:27:10,Friday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,59,,4872
21-09-2024,00:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,40,,4473
21-09-2024,01:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,49,,4872
21-09-2024,02:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,49,,4872
21-09-2024,03:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,31,,4473
21-09-2024,04:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,33,,4473
21-09-2024,05:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,23,,4872
