Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,Distance
2025-03-25,14:57:28,Tuesday,Bưu điện Chợ Lớn,Chợ Bình Tây,Đường Bạch Đằng,Sunny,2,14,5.99
2025-03-06,16:20:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Bưu điện Chợ Lớn,Đường Nguyễn Văn Linh,Cloudy,2,23,6.53
2025-03-21,08:13:28,Friday,Chợ Bình Đông,Cửa hàng Điện máy X,Đường Lê Văn Sỹ,Sunny,1,23,1.55
2025-02-28,18:52:28,Friday,Trường Tiểu học Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Đồng Khởi,Cloudy,0,57,0.72
2025-03-22,01:33:28,Saturday,Trường Tiểu học Chợ Lớn,Trạm xe buýt Quận 5,Đường Lê Văn Sỹ,Sunny,0,53,3.8
2025-03-23,08:10:28,Sunday,Đền Vua,Chợ Bình Tây,Đường Trường Chinh,Rainy,0,19,4.68
2025-03-15,18:08:28,Saturday,Nhà thờ Chợ Lớn,Đền Vua,Đường Nguyễn Văn Quá,Sunny,0,41,10.56
2025-03-11,20:11:28,Tuesday,Bưu điện Chợ Lớn,Chợ Bình Đông,Đường Lê Văn Sỹ,Sunny,0,25,6.76
2025-03-12,04:13:28,Wednesday,Siêu thị Big C District 5,Đền Vua,Đường Trường Chinh,Sunny,1,18,2.31
2025-03-17,10:20:28,Monday,Trạm xe buýt Quận 5,Bưu điện Chợ Lớn,Đường Lý Thường Kiệt,Sunny,3,29,6.22
2025-03-21,15:30:28,Friday,Trường Trung học Chợ Lớn,Siêu thị Big C District 5,Đường Lý Thường Kiệt,Rainy,0,31,1.98
2025-03-22,19:09:28,Saturday,Trường Tiểu học Chợ Lớn,Chợ Bình Đông,Đường Cái Vạn,Cloudy,2,33,3.2
2025-03-09,16:37:28,Sunday,Chợ Bình Đông,Trung tâm Thương Mại Chợ Lớn,Đường Tô Hiệu,Sunny,1,13,11.74
2025-03-09,04:09:28,Sunday,Sân vận động Quận 5,Công viên District 5,Đường Nguyễn Văn Quá,Sunny,2,54,4.4
2025-03-06,01:22:28,Thursday,Đền Vua,Chợ Bình Đông,Đường Pasteur,Cloudy,4,18,3.38
2025-03-20,19:57:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Bệnh viện Quận 5,Đường Lý Tự Trọng,Sunny,1,25,6.94
2025-03-25,15:35:28,Tuesday,Trạm xe buýt Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Nguyễn Văn Linh,Sunny,0,27,0.5
2025-02-27,01:37:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Đền Bà Thiên Hậu,Đường Trường Chinh,Sunny,1,30,4.67
2025-03-08,16:58:28,Saturday,Chợ Bình Đông,Trường Tiểu học Chợ Lớn,Đường Lý Thường Kiệt,Rainy,0,25,1.16
2025-03-10,20:14:28,Monday,Trường Tiểu học Chợ Lớn,Bảo tàng Quận 5,Đường Lê Văn Sỹ,Rainy,0,21,9.93
